OBJECTID;Nom du projet;Adresse du projet;Code postal;Nombre d'arbre;Saison de plantation;Type d'école;Nom de l'école;Numero d'arrondissement;geo_shape;geo_point_2d
8;VERGER EE OLIVIER DE SERRES (27);27 RUE OLIVIER DE SERRES;75015;2;2015 - 2016;Ecole élémentaire;Ecole élémentaire Olivier de Serres;15ème;"{""type"": ""Point"", ""coordinates"": [2.297384844191191, 48.8355996148515]}";48.8355996149, 2.29738484419
9;VERGER EE ROLLIN (10) - Phase 1;10 RUE ROLLIN;75005;5;2015 - 2016;Ecole élémentaire;Ecole élémentaire Rollin;5ème;"{""type"": ""Point"", ""coordinates"": [2.350861663163269, 48.84497532589669]}";48.8449753259, 2.35086166316
14;VERGER EM LAMARCK (4);4 SQUARE LAMARCK;75018;5;2016 - 2017;Ecole maternelle;Ecole maternelle Lamarck;18ème;"{""type"": ""Point"", ""coordinates"": [2.336018179639176, 48.89087086011057]}";48.8908708601, 2.33601817964
19;VERGER EM LACORDAIRE (5) - Phase 1;5 RUE LACORDAIRE;75015;4;2016 - 2017;Ecole maternelle;Ecole maternelle Lacordaire;15ème;"{""type"": ""Point"", ""coordinates"": [2.284988385950658, 48.84357246276545]}";48.8435724628, 2.28498838595
38;VERGER EM ROQUETTE (144);144 RUE DE LA ROQUETTE;75011;6;2016 - 2017;Ecole maternelle;Ecole maternelle Roquette;11ème;"{""type"": ""Point"", ""coordinates"": [2.382831886132434, 48.85774128344482]}";48.8577412834, 2.38283188613
40;VERGER EM ARNOLD NETTER (42);42 AVENUE DU DOCTEUR ARNOLD NETTER;75012;6;2016 - 2017;Ecole maternelle;Ecole maternelle Arnold Netter;12ème;"{""type"": ""Point"", ""coordinates"": [2.40577518894804, 48.84358994788446]}";48.8435899479, 2.40577518895
47;VERGER EM BALARD (95);95 RUE BALARD;75015;3;2016 - 2017;Ecole maternelle;Ecole maternelle Balard;15ème;"{""type"": ""Point"", ""coordinates"": [2.278894578848264, 48.83785188096567]}";48.837851881, 2.27889457885
49;VERGER EM VERSAILLES (141);141 AVENUE DE VERSAILLES;75016;11;2016 - 2017;Ecole maternelle;Ecole maternelle Avenue de Versailles;16ème;"{""type"": ""Point"", ""coordinates"": [2.268619100882825, 48.84193349345913]}";48.8419334935, 2.26861910088
50;VERGER EM BULLOURDE (4);4 PASSAGE BULLOURDE;75011;5;2016 - 2017;Ecole maternelle;Ecole maternelle Bullourde;11ème;"{""type"": ""Point"", ""coordinates"": [2.3771693113989, 48.85437070112308]}";48.8543707011, 2.3771693114
59;VERGER EM CHAT.DES RENTIERS (31);31 RUE DU CHATEAU DES RENTIERS;75013;11;2016 - 2017;Ecole maternelle;Ecole maternelle Chateau des Rentiers;13ème;"{""type"": ""Point"", ""coordinates"": [2.369181810910795, 48.82408844781048]}";48.8240884478, 2.36918181091
60;VERGER EP CHOMEL (8) - Phase 1;8 RUE CHOMEL;75007;3;2015 - 2016;Ecole polyvalente;Ecole polyvalente Chomel;7ème;"{""type"": ""Point"", ""coordinates"": [2.3254574194545032, 48.85230125520195]}";48.8523012552, 2.32545741945
61;VERGER EM CENDRIERS (20);20 RUE DES CENDRIERS;75020;5;2016 - 2017;Ecole maternelle;Ecole maternelle Rue des Cendriers;20ème;"{""type"": ""Point"", ""coordinates"": [2.386976313798304, 48.86537670144921]}";48.8653767014, 2.3869763138
62;VERGER EE FALGUIERE (20);20 RUE FALGUIERE;75015;3;2015 - 2016;Ecole élémentaire;Ecole élémentaire Falguiere;15ème;"{""type"": ""Point"", ""coordinates"": [2.316423185385986, 48.84323059587311]}";48.8432305959, 2.31642318539
63;VERGER EM CAPITAINE LAGACHE (21);21 RUE DU CAPITAINE LAGACHE;75017;7;2016 - 2017;Ecole maternelle;Ecole maternelle Capitaine Lagache;17ème;"{""type"": ""Point"", ""coordinates"": [2.325067149877686, 48.891978505206275]}";48.8919785052, 2.32506714988
66;VERGER EP LE VAU (8/10/20) - phase 1;8/10/20 RUE LE VAU;75020;11;2014 - 2015;Ecole polyvalente;Ecole polyvalente Rue le Vau;20ème;"{""type"": ""Point"", ""coordinates"": [2.411786041111168, 48.86708804697022]}";48.867088047, 2.41178604111
69;VERGER EE BRECHE AUX LOUPS (18);18 RUE DE LA BRECHE AUX LOUPS;75012;7;2014 - 2015;Ecole élémentaire;Ecole élémentaire de la Breche aux loups;12ème;"{""type"": ""Point"", ""coordinates"": [2.3941104386923833, 48.837063606299324]}";48.8370636063, 2.39411043869
70;VERGER EM BESSIERES (90);90 BOULEVARD BESSIERES;75017;21;2015 - 2016;Ecole maternelle;Ecole maternelle Bessières;17ème;"{""type"": ""Point"", ""coordinates"": [2.319461899773711, 48.897296345337665]}";48.8972963453, 2.31946189977
75;VERGER EE CHAT.RENTIERS (40);40 RUE DU CHATEAU DES RENTIERS;75013;1;2016 - 2017;Ecole élémentaire;Ecole élémentaire Chateau des Rentiers;13ème;"{""type"": ""Point"", ""coordinates"": [2.370595831090391, 48.825090053575614]}";48.8250900536, 2.37059583109
77;VERGER EE EUGENIE COTTON (16) A et B;16 RUE EUGENIE COTTON;75019;12;2015 - 2016;Ecole élémentaire;Ecole élémentaire Eugenie Cotton;19ème;"{""type"": ""Point"", ""coordinates"": [2.394345122511338, 48.8782184910514]}";48.8782184911, 2.39434512251
84;VERGER EM FONTARABIE (12);12 RUE DE FONTARABIE;75020;3;2015 - 2016;Ecole maternelle;Ecole maternelle Fontarabie;20ème;"{""type"": ""Point"", ""coordinates"": [2.400586493643809, 48.85732176419866]}";48.8573217642, 2.40058649364
85;VERGER EM FEDERATION (18);18 RUE DE LA FEDERATION;75015;11;2016 - 2017;Ecole maternelle;Ecole maternelle Fédération;15ème;"{""type"": ""Point"", ""coordinates"": [2.290701304104704, 48.85395823558436]}";48.8539582356, 2.2907013041
86;VERGER EE GUADELOUPE (2);2 RUE DE LA GUADELOUPE;75018;13;2016 - 2017;Ecole élémentaire;Ecole élémentaire Rue de la Guadeloupe;18ème;"{""type"": ""Point"", ""coordinates"": [2.362754405676418, 48.8909941129245]}";48.8909941129, 2.36275440568
94;VERGER EP TOURELLES (9);5 RUE DES TOURELLES;75020;12;2015 - 2016;Ecole polyvalente;Ecole polyvalente des Tourelles;20ème;"{""type"": ""Point"", ""coordinates"": [2.403882652245734, 48.87488141518468]}";48.8748814152, 2.40388265225
100;VERGER EM ST DENIS (221);221 RUE ST DENIS;75002;10;2016 - 2017;Ecole maternelle;Ecole maternelle St Denis;2ème;"{""type"": ""Point"", ""coordinates"": [2.350644887370941, 48.867087972830205]}";48.8670879728, 2.35064488737
104;VERGER EM CLOYS (41);41 RUE DES CLOYS;75018;9;2016 - 2017;Ecole maternelle;Ecole maternelle Cloys;18ème;"{""type"": ""Point"", ""coordinates"": [2.3382507128085, 48.8926771781556]}";48.8926771782, 2.33825071281
21;VERGER EE PICPUS (56) A - Phase 1;56 RUE DE PICPUS;75012;10;2015 - 2016;Ecole élémentaire;Ecole élémentaire de Picpus;12ème;"{""type"": ""Point"", ""coordinates"": [2.394553323534718, 48.84244129681335]}";48.8424412968, 2.39455332353
23;VERGER EM LAHIRE (13);13 RUE LAHIRE;75013;6;2016 - 2017;Ecole maternelle;Ecole maternelle Lahire;13ème;"{""type"": ""Point"", ""coordinates"": [2.36687914388527, 48.82934796247362]}";48.8293479625, 2.36687914389
24;VERGER EM PATAY (20);20 RUE DE PATAY;75013;8;2016 - 2017;Ecole maternelle;Ecole maternelle Patay;13ème;"{""type"": ""Point"", ""coordinates"": [2.376210675020153, 48.825247075106965]}";48.8252470751, 2.37621067502
25;VERGER EM KUSS (8) - Phase 1;8 RUE KUSS;75013;9;2016 - 2017;Ecole maternelle;Ecole maternelle Kuss;13ème;"{""type"": ""Point"", ""coordinates"": [2.351740606320542, 48.82232773700827]}";48.822327737, 2.35174060632
33;VERGER EM AMPERE (18);18 RUE AMPERE;75017;9;2016 - 2017;Ecole maternelle;Ecole maternelle Rue Ampère;17ème;"{""type"": ""Point"", ""coordinates"": [2.304963837410871, 48.885895587926534]}";48.8858955879, 2.30496383741
48;VERGER - CRECHE MARINIERS / EM ALAIN-FOURNIER (7);2 RUE DES MARINIERS;75014;5;2016 - 2017;Ecole maternelle et crèche;Ecole maternelle et crèche dse Mariniers;14ème;"{""type"": ""Point"", ""coordinates"": [2.30700756545943, 48.82784314474609]}";48.8278431447, 2.30700756546
54;VERGER EM BRILLAT SAVARIN (87);87 RUE BRILLAT SAVARIN;75013;6;2016 - 2017;Ecole maternelle;Ecole maternelle Savarin;13ème;"{""type"": ""Point"", ""coordinates"": [2.34241667587645, 48.824347406718736]}";48.8243474067, 2.34241667588
68;VERGER EM TURENNE (52);52 RUE DE TURENNE;75003;6;2015 - 2016;Ecole maternelle;Ecole maternelle Turenne;3ème;"{""type"": ""Point"", ""coordinates"": [2.36508963101455, 48.85838869073926]}";48.8583886907, 2.36508963101
71;VERGER EM VOLONTAIRES (17);17 RUE DES VOLONTAIRES;75015;2;2015 - 2016;Ecole maternelle;Ecole maternelle Volontaires;15ème;"{""type"": ""Point"", ""coordinates"": [2.307891661241222, 48.84222210337393]}";48.8422221034, 2.30789166124
72;VERGER EP CAMBON (28);28 RUE CAMBON;75001;4;2015 - 2016;Ecole polyvalente;Ecole polyvalente Cambon;1er;"{""type"": ""Point"", ""coordinates"": [2.327205274368827, 48.867970023467194]}";48.8679700235, 2.32720527437
78;VERGER EM BUFFON (15 B);15B RUE BUFFON;75005;4;2016 - 2017;Ecole maternelle;Ecole maternelle Buffon;5ème;"{""type"": ""Point"", ""coordinates"": [2.3617710907824803, 48.84237420462924]}";48.8423742046, 2.36177109078
80;VERGER EM FRANCOIS COPPEE (10);10 RUE FRANCOIS COPPEE;75015;1;2015 - 2016;Ecole maternelle;Ecole maternelle François Coppee;15ème;"{""type"": ""Point"", ""coordinates"": [2.287428773645983, 48.83972946116728]}";48.8397294612, 2.28742877365
81;VERGER EE FRANCOIS COPPEE (14);14 RUE FRANCOIS COPPEE;75015;7;2015 - 2016;Ecole élémentaire;Ecole élémentaire François Coppee;15ème;"{""type"": ""Point"", ""coordinates"": [2.287885665902197, 48.83953491569096]}";48.8395349157, 2.2878856659
87;VERGER EM ESPERANCE (12);12 RUE DE L ESPERANCE;75013;6;2016 - 2017;Ecole maternelle;Ecole maternelle Esperence;13ème;"{""type"": ""Point"", ""coordinates"": [2.34766906794403, 48.82683391721054]}";48.8268339172, 2.34766906794
91;VERGER EP PIERRE FONCIN (4);4 RUE PIERRE FONCIN;75020;7;2016 - 2017;Ecole polyvalente;Ecole polyvalente Foncin;20ème;"{""type"": ""Point"", ""coordinates"": [2.409715476127677, 48.87109626215162]}";48.8710962622, 2.40971547613
95;VERGER EE FRANCOISE DORLEAC (8) B;8 PLACE FRANCOISE DORLEAC;75018;13;2014 - 2015;Ecole élémentaire;Ecole élémentaire Françoise Dorleac;18ème;"{""type"": ""Point"", ""coordinates"": [2.337998207644797, 48.900332782415354]}";48.9003327824, 2.33799820764
4;VERGER EM GUTENBERG (72);72 RUE GUTENBERG;75015;1;2016 - 2017;Ecole maternelle;Ecole maternelle Guttenberg;15ème;"{""type"": ""Point"", ""coordinates"": [2.278371654677083, 48.841406221854534]}";48.8414062219, 2.27837165468
11;VERGER EM MARYSE HILSZ (18);18 RUE MARYSE HILSZ;75020;6;2015 - 2016;Ecole maternelle;Ecole maternelle Maryse Hilsz;20ème;"{""type"": ""Point"", ""coordinates"": [2.41321909746785, 48.85050781802346]}";48.850507818, 2.41321909747
12;VERGER EE MARYSE HILSZ (20);20 RUE MARYSE HILSZ;75020;4;2015 - 2016;Ecole élémentaire;Ecole élémentaire Maryse Hilsz;20ème;"{""type"": ""Point"", ""coordinates"": [2.4137901803944253, 48.850674464668515]}";48.8506744647, 2.41379018039
13;VERGER EE MADEMOISELLE (81);81 RUE MADEMOISELLE;75015;3;2014 - 2015;Ecole élémentaire;Ecole élémentaire Mademoiselle;15ème;"{""type"": ""Point"", ""coordinates"": [2.300213378076988, 48.843761297712255]}";48.8437612977, 2.30021337808
17;VERGER EM PORTE BRANCION (5);5 AVENUE DE LA PORTE BRANCION;75015;12;2015 - 2016;Ecole maternelle;Ecole maternelle Brancion;15ème;"{""type"": ""Point"", ""coordinates"": [2.302375437808201, 48.8273247342378]}";48.8273247342, 2.30237543781
20;VERGER EM MERLIN (14);14 RUE MERLIN;75011;17;2016 - 2017;Ecole maternelle;Ecole maternelle Merlin;11ème;"{""type"": ""Point"", ""coordinates"": [2.385987997002307, 48.86019413054091]}";48.8601941305, 2.385987997
26;VERGER EM OLIVIER DE SERRES (34);34 RUE OLIVIER DE SERRES;75015;2;2015 - 2016;Ecole polyvalente;Ecole polyvalente Olivier de Serres;15ème;"{""type"": ""Point"", ""coordinates"": [2.296145056579204, 48.835548372409825]}";48.8355483724, 2.29614505658
27;VERGER EE MARE (42);42 RUE DE LA MARE;75020;7;2016 - 2017;Ecole élémentaire;Ecole élémentaire de la Mare;20ème;"{""type"": ""Point"", ""coordinates"": [2.390455120126042, 48.87101220587155]}";48.8710122059, 2.39045512013
28;VERGER EM POINTE D'IVRY (17-35);35 RUE DE LA POINTE D IVRY;75013;4;2015 - 2016;Ecole maternelle;Ecole maternelle Pointe d'Ivry;13ème;"{""type"": ""Point"", ""coordinates"": [2.364224665504206, 48.82229004249963]}";48.8222900425, 2.3642246655
29;VERGER EE OLIVIER DE SERRES (99);99 RUE OLIVIER DE SERRES;75015;8;2014 - 2015;Ecole élémentaire;Ecole élémentaire Olivier de Serres;15ème;"{""type"": ""Point"", ""coordinates"": [2.294303689323122, 48.832074496377764]}";48.8320744964, 2.29430368932
30;VERGER EM JOSEPH DE MAISTRE (94) - Phase 1;94 RUE JOSEPH DE MAISTRE;75018;14;2015 - 2016;Ecole maternelle;Ecole maternelle Joseph de Maistre;18ème;"{""type"": ""Point"", ""coordinates"": [2.330864690622496, 48.89307377818007]}";48.8930737782, 2.33086469062
32;VERGER EM MAROC (34);34 RUE DU MAROC;75019;5;2016 - 2017;Ecole maternelle;Ecole maternelle Rue du Maroc;19ème;"{""type"": ""Point"", ""coordinates"": [2.368320384101143, 48.88736889423816]}";48.8873688942, 2.3683203841
43;VERGER EM SERGE PROKOFIEV (18) - Phase 1;18 RUE SERGE PROKOFIEV;75016;12;2014 - 2015;Ecole maternelle;Ecole maternelle Serge Prokofiev;16ème;"{""type"": ""Point"", ""coordinates"": [2.267634799146973, 48.85440638628651]}";48.8544063863, 2.26763479915
46;VERGER EM RUE DES BOIS (2) - Phase 1;2 RUE DES BOIS;75019;10;2014 - 2015;Ecole maternelle;Ecole maternelle Rue des Bois;19ème;"{""type"": ""Point"", ""coordinates"": [2.39618471703819, 48.87748877917344]}";48.8774887792, 2.39618471704
51;VERGER EE CHAT.DES RENTIERS (37);37 RUE DU CHATEAU DES RENTIERS;75013;1;2015 - 2016;Ecole élémentaire;Ecole élémentaire Chateau des Rentiers;13ème;"{""type"": ""Point"", ""coordinates"": [2.369776764627106, 48.824340489680324]}";48.8243404897, 2.36977676463
57;VERGER EM COURONNES (94);94 RUE DES COURONNES;75020;5;2016 - 2017;Ecole maternelle;Ecole maternelle Couronnes;20ème;"{""type"": ""Point"", ""coordinates"": [2.387425772195698, 48.870097861979666]}";48.870097862, 2.3874257722
65;VERGER EP GILBERT CESBRON (1);10 RUE GILBERT CESBRON;75017;8;2016 - 2017;Ecole polyvalente;Ecole polyvalente Cesbron;17ème;"{""type"": ""Point"", ""coordinates"": [2.314221751883783, 48.89304453025877]}";48.8930445303, 2.31422175188
67;VERGER EM BOULARD (23);23 RUE BOULARD;75014;10;2016 - 2017;Ecole maternelle;Ecole maternelle Boulard;14ème;"{""type"": ""Point"", ""coordinates"": [2.329215773757366, 48.83360729521529]}";48.8336072952, 2.32921577376
73;VERGER EM ANTOINE CHANTIN (15);15 RUE ANTOINE CHANTIN;75014;3;2015 - 2016;Ecole maternelle;Ecole maternelle Chantin;14ème;"{""type"": ""Point"", ""coordinates"": [2.321924841600922, 48.82681617540913]}";48.8268161754, 2.3219248416
89;VERGER EM FAUCONNIER (4);4 RUE DU FAUCONNIER;75004;8;2015 - 2016;Ecole maternelle;Ecole maternelle Fauconnier;4ème;"{""type"": ""Point"", ""coordinates"": [2.359914973940246, 48.85353451303284]}";48.853534513, 2.35991497394
92;VERGER EM FRANC NOHAIN (9);9 RUE FRANC NOHAIN;75013;6;2016 - 2017;Ecole maternelle;Ecole maternelle Nohan;13ème;"{""type"": ""Point"", ""coordinates"": [2.375013425835584, 48.82124531315685]}";48.8212453132, 2.37501342584
96;VERGER EE CLICHY (10);10 RUE DE CLICHY;75009;8;2016 - 2017;Ecole élémentaire;Ecole élémentaire Rue de Clichy;9ème;"{""type"": ""Point"", ""coordinates"": [2.330765599167436, 48.87781169708742]}";48.8778116971, 2.33076559917
97;VERGER EE FBG ST-DENIS (34);34 RUE DU FAUBOURG ST-DENIS;75010;6;2016 - 2017;Ecole élémentaire;Ecole élémentaire Rue du faubourg Saint-Denis;10ème;"{""type"": ""Point"", ""coordinates"": [2.354045255673976, 48.871004012097]}";48.8710040121, 2.35404525567
101;VERGER EE CHABROL (41);41 RUE DE CHABROL;75010;9;2016 - 2017;Ecole élémentaire;Ecole élémentaire Chabrol;10ème;"{""type"": ""Point"", ""coordinates"": [2.352951134913837, 48.8765016736802]}";48.8765016737, 2.35295113491
102;VERGER EE FRANC NOHAIN (9);9 RUE FRANC NOHAIN;75013;12;2016 - 2017;Ecole élémentaire;Ecole élémentaire Nohain;13ème;"{""type"": ""Point"", ""coordinates"": [2.374271945639546, 48.821143038995764]}";48.821143039, 2.37427194564
103;VERGER EM PERCHAMPS (38);38 RUE DES PERCHAMPS;75016;10;2016 - 2017;Ecole maternelle;Ecole maternelle Perchamps;16ème;"{""type"": ""Point"", ""coordinates"": [2.268129628558828, 48.84900133347593]}";48.8490013335, 2.26812962856
2;VERGER EM POULLETIER (18);20 RUE POULLETIER;75004;7;2016 - 2017;Ecole maternelle;Ecole maternelle Poulletier;4ème;"{""type"": ""Point"", ""coordinates"": [2.358543311184181, 48.85152677518659]}";48.8515267752, 2.35854331118
5;VERGER EM JEAN MENANS (2) - Phase 1;2 RUE JEAN MENANS;75019;18;2015 - 2016;Ecole maternelle;Ecole maternelle Jean Menans;19ème;"{""type"": ""Point"", ""coordinates"": [2.378738073541455, 48.8807980894609]}";48.8807980895, 2.37873807354
6;VERGER EM NOYER DURAND (5);5 RUE DU NOYER DURAND;75019;5;2016 - 2017;Ecole maternelle;Ecole maternelle Noyer Durand;19ème;"{""type"": ""Point"", ""coordinates"": [2.398855769308395, 48.88694165939789]}";48.8869416594, 2.39885576931
7;VERGER EE MAURICE D'OCAGNE (7) - Phase 1;7 AVENUE  MAURICE D'OCAGNE;75014;20;2014 - 2015;Ecole élémentaire;Ecole élémentaire Maurice d'Ocagne;14ème;"{""type"": ""Point"", ""coordinates"": [2.312371161048623, 48.8236161326253]}";48.8236161326, 2.31237116105
15;VERGER EM JEAN DOLENT (11);11 RUE JEAN DOLENT;75014;4;2015 - 2016;Ecole maternelle;Ecole maternelle Jean Dolent;14ème;"{""type"": ""Point"", ""coordinates"": [2.339804900883546, 48.83317623660093]}";48.8331762366, 2.33980490088
18;VERGER EM GLACIERE (100);100 RUE DE LA GLACIERE;75013;1;2015 - 2016;Ecole maternelle;Ecole maternelle Glacière;13ème;"{""type"": ""Point"", ""coordinates"": [2.342647272406844, 48.82971345891027]}";48.8297134589, 2.34264727241
35;VERGER EM RECOLLETS (23) - Phase 1;23 PASSAGE DES RECOLLETS;75010;12;2015 - 2016;Ecole maternelle;Ecole maternelle Recollets;10ème;"{""type"": ""Point"", ""coordinates"": [2.360128296844588, 48.874638220667414]}";48.8746382207, 2.36012829684
36;VERGER EE ALEXANDRE DUMAS (39);39 RUE ALEXANDRE DUMAS;75011;19;2015 - 2016;Ecole élémentaire;Ecole élémentaire Alexandre Dumas;11ème;"{""type"": ""Point"", ""coordinates"": [2.393329376566765, 48.85391552854548]}";48.8539155285, 2.39332937657
42;VERGER EM SIMONE WEIL (5) - Phase 2;5 RUE SIMONE WEIL;75013;7;2016 - 2017;Ecole maternelle;Ecole maternelle Simone Weil;13ème;"{""type"": ""Point"", ""coordinates"": [2.364596083377626, 48.82333830175597]}";48.8233383018, 2.36459608338
44;VERGER EM TAPISSERIES (8);8 RUE DES TAPISSERIES;75017;13;2015 - 2016;Ecole maternelle;Ecole maternelle Tapisseries;17ème;"{""type"": ""Point"", ""coordinates"": [2.307938914971985, 48.88843287300069]}";48.888432873, 2.30793891497
52;VERGER EP FRERES VOISIN  (3) - Phase 1;3 BOULEVARD DES FRERES VOISIN;75015;5;2014 - 2015;Ecole polyvalente;Ecole polyvalente des freres Voisin;15ème;"{""type"": ""Point"", ""coordinates"": [2.268111052276446, 48.82888340639597]}";48.8288834064, 2.26811105228
56;VERGER EM CHOISY (4 B);4B AVENUE DE CHOISY;75013;9;2016 - 2017;Ecole maternelle;Ecole maternelle Avenue de choisy;13ème;"{""type"": ""Point"", ""coordinates"": [2.365304920495066, 48.820630749551135]}";48.8206307496, 2.3653049205
58;VERGER EM ARCHIVES (40);40 RUE DES ARCHIVES;75004;14;2016 - 2017;Ecole maternelle;Ecole maternelle Archives;4ème;"{""type"": ""Point"", ""coordinates"": [2.356232007031304, 48.858964842773204]}";48.8589648428, 2.35623200703
74;VERGER EM VAUVENARGUES (52);52 RUE VAUVENARGUES;75018;8;2016 - 2017;Ecole maternelle;Ecole maternelle Vauvenargues;18ème;"{""type"": ""Point"", ""coordinates"": [2.331749546489089, 48.89560253254758]}";48.8956025325, 2.33174954649
79;VERGER EP FRERES VOISIN (3) - Phase 2;3 BOULEVARD DES FRERES VOISIN;75015;6;2015 - 2016;Ecole polyvalente;Ecole polyvalente des freres Voisin;15ème;"{""type"": ""Point"", ""coordinates"": [2.268665186765727, 48.82876318883348]}";48.8287631888, 2.26866518677
82;VERGER EE JEAN JAURES (160);160 AVENUE JEAN JAURES;75019;7;2016 - 2017;Ecole élémentaire;Ecole élémentaire Jean Jaures;19ème;"{""type"": ""Point"", ""coordinates"": [2.388168513359132, 48.88690940274337]}";48.8869094027, 2.38816851336
83;VERGER EM EMILE ZOLA (35);35 AVENUE EMILE ZOLA;75015;2;2015 - 2016;Ecole maternelle;Ecole maternelle Emile Zola;15ème;"{""type"": ""Point"", ""coordinates"": [2.281688215023496, 48.84669055482579]}";48.8466905548, 2.28168821502
90;VERGER EM EUGENIE COTTON (20);20 RUE EUGENIE COTTON;75019;6;2015 - 2016;Ecole maternelle;Ecole maternelle Eugenie Cotton;19ème;"{""type"": ""Point"", ""coordinates"": [2.394901368584997, 48.87858531834525]}";48.8785853183, 2.39490136858
93;VERGER EM EMILE LEPEU (44);44 RUE EMILE LEPEU;75011;5;2015 - 2016;Ecole maternelle;Ecole maternelle Emile Lepeu;11ème;"{""type"": ""Point"", ""coordinates"": [2.388406893907858, 48.85665964958853]}";48.8566596496, 2.38840689391
